"","range","par","est","lwr","upr","significant","model"
"1",200,"ln_H_input",1.45043425799123,0.801651333709422,2.09921718227303,TRUE,"ats"
"2",200,"ln_H_input",-4.12584210672203,-6.87225876134415,-1.3794254520999,TRUE,"ats"
"3",200,"gamma1_ctp",0.0526060320148124,-0.0594951252642479,0.164707189293873,FALSE,"ats"
"4",200,"L_omega1_z",1.87209626973221,0.903991321410394,2.84020121805402,TRUE,"ats"
"5",200,"L_epsilon1_z",1.08677573161107,0.673688132220723,1.49986333100142,TRUE,"ats"
"6",200,"L_beta1_z",0.670344058639199,0.249107339529014,1.09158077774938,TRUE,"ats"
"7",200,"Beta_mean1_c",-0.898270818669086,-2.68193421965845,0.885392582320273,FALSE,"ats"
"8",200,"gamma2_ctp",-0.129389001452476,-0.29406350530276,0.0352855023978088,FALSE,"ats"
"9",200,"L_omega2_z",1.19496168255478,0.402633424667754,1.98728994044181,TRUE,"ats"
"10",200,"L_epsilon2_z",0.581961268036802,0.280329025567057,0.883593510506548,TRUE,"ats"
"11",200,"L_beta2_z",0.419384979942373,0.123594895972432,0.715175063912314,TRUE,"ats"
"12",200,"Beta_mean2_c",4.00588491005877,2.81998189995698,5.19178792016057,TRUE,"ats"
"13",200,"logSigmaM",0.594023202889838,0.562630761471103,0.625415644308573,TRUE,"ats"
"14",400,"ln_H_input",0.290539362310326,-0.0506738170173067,0.631752541637959,FALSE,"ats"
"15",400,"ln_H_input",-0.835847615777519,-1.27378415870659,-0.397911072848449,TRUE,"ats"
"16",400,"gamma1_ctp",0.0353999860649205,-0.0792960344408998,0.150096006570741,FALSE,"ats"
"17",400,"L_omega1_z",1.38770434107159,0.968872295445763,1.80653638669742,TRUE,"ats"
"18",400,"L_epsilon1_z",0.807770998406543,0.648533383742559,0.967008613070526,TRUE,"ats"
"19",400,"L_beta1_z",0.622145469918935,0.147430261027791,1.09686067881008,TRUE,"ats"
"20",400,"Beta_mean1_c",-1.03885444412624,-3.09119224520281,1.01348335695033,FALSE,"ats"
"21",400,"gamma2_ctp",-0.108636080778465,-0.276207963514663,0.0589358019577325,FALSE,"ats"
"22",400,"L_omega2_z",0.920313234240929,0.485752547238534,1.35487392124332,TRUE,"ats"
"23",400,"L_epsilon2_z",0.435523632076561,0.26964806906161,0.601399195091512,TRUE,"ats"
